Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Rajon Rondo,PG,14.5,20.8,3.4,5.2,0.9,0.2,1.6,6.6,20,0.317307692,0.961538462,20.17030052,126
Robert Williams,C,13.2,17.7,5.3,0.9,0.4,1.8,0.6,6.4,20,0.361581921,1.129943503,20.11420677,127
Gary Clark,SF,5,28.8,5.6,1.4,1,0.4,0.4,7.4,20,0.256944444,0.694444444,20.03009752,128
Patrick Beverley,PG,10.3,24,3.2,2.9,1,0.8,1,7.4,19.7,0.308333333,0.820833333,19.98505875,129
Robert Covington,PF,6.7,25.2,4.6,1.2,1.3,0.9,0.8,6.8,19.9,0.26984127,0.78968254,19.9072799,130
Goran Dragić,PG,6.8,21.3,2.6,2.3,0.7,0.2,1.3,11.9,19.7,0.558685446,0.924882629,19.8752194,131
Luguentz Dort,SF,6,29.2,3.7,1,0.3,1,2.5,12.5,19.8,0.428082192,0.678082192,19.85950481,132
Danilo Gallinari,PF,10,25.8,4.5,0.9,0.4,0.1,1.3,12.7,19.6,0.492248062,0.759689922,19.66425193,133
Harrison Barnes,PF,7,28,3.4,0.7,1.1,0.3,0.4,10.7,19.6,0.382142857,0.7,19.63283971,134
Marcus Morris,PF,11.7,28.1,4.4,1,0.5,0.3,0.5,10.9,19.7,0.387900356,0.701067616,19.59806472,135
Jae Crowder,PF,15,26.1,4.4,1.8,0.8,0.5,0.8,8.5,19.2,0.325670498,0.735632184,19.57626207,136
Ivica Zubac,C,11.7,22.8,7.5,0.5,0.3,0.6,1.3,8.2,19.3,0.359649123,0.846491228,19.35680959,137
Lou Williams,PG,15.5,20.8,2.3,3.2,0.8,0.2,1.4,10.2,19.1,0.490384615,0.918269231,19.34822378,138
Reggie Bullock,SF,11.5,35.8,4,1.4,0.9,0.2,0.6,9.7,19.2,0.270949721,0.536312849,19.31439828,139
Jaden McDaniels,PF,6,21.7,2.8,0.7,0.3,1.8,1,9.3,19,0.428571429,0.875576037,19.02909232,140
James Ennis III,SG,5,23.8,5.8,1.2,1,0.4,1.2,7,18.8,0.294117647,0.789915966,18.75533045,141
